Month,Company/Brand,Founded,Headquarters,Sector,Founder/s,Investor/s,Amount ($),Stage
November,Vayana Network,2017,Pune,Financial Services,Ramaswamy Iyer,"CDC Group, Jungle Ventures, March Capital, Marshall Wace",30000000,Series C
November,Valuationary,2020,Surat,E-learning,"Pratik Bajaj, Kunal Shah, Mahip Gupta","Ashish Jain, Ajay Surana",100000,Pre-seed
November,Knocksense,2016,Lucknow,Online Media,"Varul Mayank, Vibhore Mayank","We Founder Circle, Appyhigh, Mumbai Angels",150000,
November,Petpooja,2011,Ahmedabad,Information Technology & Services,"Apurv Patel, Parthiv Patel","Aroa Ventures, GVFL, Udaan",4500000,
November,Wingreens Farms,2011,Gurugram,Food & Beverages,"Anju C Srivastava, Arjun Srivastava","Investcorp, Omidyar Network",17000000,
November,Doola,2020,New York,Company-as-a-Service,"Arjun Mahadevan, JP Pincheira",Nexus Venture Partners,3000000,
November,EyeMyEye,2021,Gurugram,Eyewear,Ganesh Iyer,2000000,2000000,Pre-series A
November,Bombay Hemp Company,2013,Mumbai,Textiles,"Avnish Pandya, Delzaad Deolaliwala","Riteesh Mohan Bakshi, Raghav Mohan Bakshi, Achin Kochar",2000000,
November,DGV,2019,Bangalore,Information Technology & Services,Ragavan Venkatesan,"Info Edge Ventures, Omnivore",3000000,Pre-series A
November,GuardianLink,2017,Chennai,Information Technology & Services,"Ramkumar Subramaniam, Kamesh Elangovan",Kalaari Capital,12000000,Series A
November,Clinikk,2016,Bangalore,Hospital & Health Care,"Dr.Suraj Baliga, Bhavjot Kaur",MassMutual Ventures,4000000,Pre-series A
November,Toplyne,2021,Bangalore,Computer Software,"Rishen Kapoor and Ruchin Kulkarni, Rohit Khanna","Sequoia Capital , Together Fund",2500000,
November,Mensa,2021,Bangalore,D2C,Ananth Narayanan,"Alpha Wave Ventures, Falcon Edge Capital",135000000,Series B
November,GENLEAP,2021,Haryana,Professional Training & Coaching,"Sachin Sandhir, Nimish Gupta, Nitin Thakur, Shweta Kataria","Vivek Vaidya, Kevin Donlon, Ayush Singh",8000000,Seed
November,Planys,2015,Chennai,Maritime,"Tanuj Jhunjhunwala, Vineet Upadhyay, Rakesh Sirikonda","Kieretsu Forum, Lets Venture, Shell",1600000,Pre-series A
November,Wonderchef,2009,Mumbai,Consumer Goods,Ravi Saxena,"Sixth Sense Ventures, Godrej Family office, Malpani Group",20000000,
