Month,Company/Brand,Founded,Headquarters,Sector,Founder/s,Investor/s,Amount ($),Stage
May,FarMart,2015,Gurugram,AgriTech,"Alekh Sanghera, Mehtab Singh Hans","Omidyar Network India, Avaana Capital",24000000,Pre-series A
May,Kodo Card,2019,Mumbai,FinTech,"Deepti Sanghi, Gaurav Thapa","Brex, Y-Combinator",8000000,Seed
May,Polygon,2017,Mumbai,Crypto,"Jaynti Kanani, Sandeep Nailwal, Anurag Arjun","Mark Cuban, MiH Ventures",Undisclosed,
May,Get My Parking,2015,New Delhi,Mobility,"Chirag Jain, Rasik Pansare","IvyCap Ventures, IAN Fund",6000000,
May,Cellestial,2019,Hyderabad,Electronics,Siddhartha Durairajan,"Gurj Aujla, Ashik K",500000,Pre-series A
May,FanCode,2019,Mumbai,Sports startup,Yannick Colaco,Dream Sports,50000000,
May,Jai Kisan,2017,Mumbai,FinTech,"Adriel Maniego, Arjun Ahluwalia","The Chatterjee Group, Prophetic Ventures",30000000,Series A
May,Plum,2019,Bangalore,HealthCare,"Abhishek Poddar, Saurabh Arora","Harsh Jain, Lalit Keshre",15000000,Series A
May,ThatMate,2019,Satara,HealthCare,Nishant Neeraj,"Supriya Kumari, Premanshu Singh",140000,
May,Klassroom,2016,Mumbai,EdTech,Alka Javeri,ah! Ventures,200000,Pre-series A
May,Convin,2019,Bangalore,SaaS startup,"Ashish Santhalia, Atul Shree, Bharat Patidar, Durgesh Choudhary","9Unicorns Accelerator Fund, Sunder Nookala",300000,Pre-seed
May,Mensa Brands,2021,Bangalore,Clothing,Ananth Narayanan,"Accel Partners, Falcon Edge Capital, Norwest Venture Partners",50000000,Series A
May,Disruptium,2021,Ahmadabad,Consulting,"Yash Shah, Kapil Mathrani, Ishit Desai",Pravesh Mehta,200000,
May,MedTel Healthcare,2017,Orissia,HealthCare,"Ajit Choudhury, Lalit Ranjan Manik, Manish Kumar Swain, Shashank Singhal, Siba Prasad Panda",,5000000,Pre-series A
May,Pickright Technologies,2019,Bangalore,FinTech,"Namandeep Bhatia, Archana E","Gaurav Gupta, Vivek Srivatsav",200000,
May,Ingenium,2018,New Delhi,EdTech,"Pramudit Somvanshi, Mohit Patel, Aakash Gupta",Lead Angels,Undisclosed,Seed
May,BharatPe,2018,New Delhi,FinTech,"Ashneer Grover, Bhavik Koladiya, Shashvat Nakrani","Amplo, Insight Partners",6000000,Debt
May,RuleZero,2019,Bangalore,Tech Startup,"Satish Mugulavalli, Srinivas Katta","Induslaw, Reddy Futures",1000000,Seed
May,Rubix Data Sciences,2018,Mumbai,IT startup,Mohan Ramaswamy,,800000,Seed
May,Locobuzz,2011,Mumbai,Analytics,Vishal Agrawal,Yuj Ventures,4000000,Series A
May,We Founder Circle,2020,Mumbai,FinTech,Neeraj Tyagi,Geekster,2000000,Pre-seed
May,Haqdarshak,2015,Jaipur,Finance,"Aniket Doegar, Asha Krishnan, PR Ganapathy","Manish Subramaniam, Upaya Social Ventures",800000,Pre-series A
May,Celcius,2020,Mumbai,Logistics,"Swarup Bose, Rajneesh Raman, Arbind Jain",Eaglewings Ventures,Undisclosed,Seed
May,Enthu.ai,2020,Chandigarh,AI startup,"Tushar Jain, Vishal Verma",Appit Simple Infotek,200000,
May,Myelin Foundry,2019,Bangalore,AI startup,"Gopichand Katragadda, Ganesh Suryanarayanan, Aditi Olemann",Beyond Next Ventures,1000000,Pre-series A
May,SuperOps.ai,2020,Chennai,AI startup,"Arvind Parthiban, Jayakumar Karumbasalam","Ramakant Sharma, Elevation Capital",3000000,Seed
May,6Degree,2014,Mumbai,Retail,"Amit Bhardwaj, Nikhil Hegde","Keiretsu Forum, SucSEED Venture Partners",1000000,
May,Teachmint,2020,Bangalore,EdTech,"Anshuman Kumar, Divyansh Bordia, Mihir Gupta, Payoj Jain","Lightspeed India Partners, CM Ventures",16500000,Series A
May,Sarathi,2020,Jodhpur,HealthCare,Aditi Poyam,,100000,Seed
May,Jidoka Technologies,2018,Chennai,Software,Sekar Udayamurthy,,340000,Seed
May,Rapido,2015,Bangalore,Transportation,"Aravind Sanka, Pavan Guntupalli, Rishikesh SR","Skycatcher, Nexus Venture Partners",43000000,Series C
May,BYJU'S,2011,Bangalore,EdTech,"Byju Raveendran, Divya Gokulnath","Tiga Investments, Baron Capital",150000000,
May,ElasticRun,2015,Pune,E-commerce ,"Sandeep Deshmukh, Saurabh Nigam, Shitiz Bansal","Avataar Venture Partners, Kalaari Capital",75000000,Series D
May,Avail Finance,2017,Bangalore,FinTech,"Ankush Aggarwal, Tushar Mehndiratta","Alteria Capital, Matrix Partners India",3000000,Debt
May,Nivesh,2016,Noida,FinTech,"Anurag Garg, Sridhar Srinivasan","Raghav Kapur, Indian Angel Network",1600000,Pre-series A
May,Thingsup,2020,Pune,IoT platform,"Akshay Ghadage, Pranav Naiknavare",GSF Accelerator,1000000,
May,Arthya Wealth and Investments,2020,Mumbai,FinTech,Gaurav Arora,"Rishi Kumar Bagla, Krishen Lal Khanna",1000000,Pre-series A
April,Unbox Robotics,2019,Bangalore,AI startup,"Pramod Ghadge, Shahid Memon","BEENEXT, Entrepreneur First",1200000,Pre-series A
April,upGrad,2015,Mumbai,EdTech,"Mayank Kumar, Phalgun Kompalli, Ravijot Chugh, Ronnie Screwvala","Unilazer Ventures, IIFL Asset Management",120000000,
April,Lead School,2012,Mumbai,EdTech,"Smita Deorah, Sumeet Mehta","GSV Ventures, Westbridge Capital",30000000,Series D
April,Bizongo,2015,Mumbai,B2B E-commerce,"Aniket Deb, Ankit Tomar, Sachin Agrawal","CDC Group, IDG Capital",51000000,Series C
April,FypMoney,2021,Gurugram,FinTech,Kapil Banwari,"Liberatha Kallat, Mukesh Yadav, Dinesh Nagpal",2000000,Seed
April,Urban Company,2014,New Delhi,Home services,"Abhiraj Singh Bhal, Raghav Chandra, Varun Khaitan",Vy Capital,188000000,
April,Comofi Medtech,2018,Bangalore,HealthTech,Gururaj KB,"CIIE.CO, KIIT-TBI",200000,
April,Qube Health,2016,Mumbai,HealthTech,Gagan Kapur,Inflection Point Ventures,Undisclosed,Pre-series A
April,Vitra.ai,2020,Bangalore,Tech Startup,Akash Nidhi PS,Inflexor Ventures,Undisclosed,
April,Taikee,2010,Mumbai,E-commerce ,"Nidhi Ramachandran, Sachin Chhabra",,1000000,
April,Fitterfly,2016,Mumbai,HealthTech,Dr Arbinder Singal,"9Unicorns Accelerator Fund, Metaform Ventures",3000000,Pre-series A
April,FreeStand,2017,New Delhi,B2B service,"Konark Sharma, Sneh Soni","SucSEED Indovation, IIM Calcutta Innovation Park",100000,
April,MyDentalPlan,2014,Bangalore,Helathcare,"Dr Mohender Narula, Dr AnandKrishna, Dr Girish Rao",Safe Planet Medicare,700000,Seed
April,Freyr Energy,2014,Hyderabad,Renewable Energy,"Radhika Choudary, Saurabh Marda","Impact Partners, C4D Partners",2000000,
April,DealShare,2018,Jaipur,E-commerce ,"Sankar Bora, Sourjyendu Medda, Vineet Rao","Tiger Global Management, InnoVen Capital",9000000,
April,Tessolve,1993,Bangalore,Electronics,"P Raja Manickam, Srinivas Chinamilli, Veerappan V",Novo Tellus Capital,40000000,
April,Smart Joules,2014,New Delhi,Renewable Energy,"Arjun P Gupta, Ujjal Majumdar, Sidhartha Gupta","Raintree Family Office, ADB arm",49000000,
April,ORAI,2020,Bangalore,IT startup,"Swapnil Jain, Sujit Das Biswas ",Inflection Point Ventures,400000,Pre-series A
April,ixamBee,2016,New Delhi,EdTech,Chandraprakash Joshi,"Mumbai Angels, Narendra Shyamsukha",300000,Seed
April,CoinSwitch Kuber,2017,Bangalore,FinTech,"Ashish Singhal, Govind Soni, Vimal Sagar Tiwari","Paradigm, Kunal Shah",25000000,Series B
April,Razorpay,2014,Bangalore,FinTech,"Harshil Mathur, Shashank Kumar","Matrix Partners India, GIC",160000000,Series E
April,Uable,2020,Bangalore,EdTech,Saurabh Saxena,"Chiratae Ventures, JAFCO Asia",Undisclosed,Seed
April,ZFW Hospitality,2015,New Delhi,Food & Beverages,Madhav Kasturia,"Mumbai Angels Network, Expert DOJO",150000,Pre-seed
April,Optimized Electrotech,2017,Ahmadabad,Aeorspace,"Anil Yekkala, Dharin Shah, Kuldeep Saxena, Purvi Shah, Sandeep Shah",GVFL,1800000,Pre-series A
April,Northern Arc,2008,Chennai,FinTech,Kshama Fernandes,"Kotak Mahindra Bank, FMO",5000000,
April,Chara,2019,Bangalore,Deep Tech,"Bhaktha Keshavachar, Ravi Prasad Sharma, Mahalingam Koushik",Kalaari Capital,850000,Seed
April,Sirona Hygiene,2015,New Delhi,HealthTech,"Deep Bajaj, Mohit Bajaj","NB Ventures, IAN Fund",3000000,Series A
April,Pristyn Care,2018,Gurugram,HealthTech,Harsimarbir (Harsh) Singh,"Sequoia Capital India, Hummingbird Ventures",53000000,Series D
April,TrulyMadly,2013,New Delhi,Dating ,"Hitesh Dhingra, Rahul Kumar, Sachin Bhatia","Gaurav Munjal, Snehil Khanor",2000000,Pre-series A
April,Vidyakul,2018,,EdTech,"Raman Garg, Tarun Saini","JITO Angel Network, SOSV",500000,Seed
April,Jambox Games,2021,Bangalore,Gaming,Ravi Vyas,,1100000,Seed
April,Miko,2015,Mumbai,Robotics,"Chintan Raikar, Prashant Iyengar, Sneh Vaswani","Chiratae Ventures, YourNest Venture Capital",6000000,
April,SuperK,2019,"Small Towns, Andhra Pradesh",Retail,Neeraj Menta,STRIVE VC,800000,Seed
April,TagZ Foods,2019,Bangalore,Food ,"Anish Basu Roy, Sagar Bhalotia",Venture Catalysts,500000,Pre-series A
April,Fuel Buddy,2017,New Delhi,Oil and Energy,Aditya Singh ,Jaipuria Family Office,1000000,
April,M1xchange,2017,Gurugram,FinTech,Sundeep Mohindru,Amazon,10000000,
April,Spintly,2017,Goa,Tech Startup,Rohin Parkar,Riso Capital,500000,
April,EF Polymer,2018,Rajsamand,AgriTech,Narayan Lal Gurjar,MTG Ventures,200000,
April,boAt,2016,New Delhi,Electronics,"Aman Gupta, Sameer Mehta","Qualcomm Ventures, Warburg Pincus",6000000,
April,TruNativ,2019,Mumbai,Food & Beverages,"Pranav Malhotra, Mamta Malhotra",9Unicorns,Undisclosed,Seed
April,iBus,2010,Bangalore,Telecommuncation,"Ram Sellaratnam, Sunil Menon and Subash Vasudevan",Morgan Stanley,21000000,
April,Puresh Daily,2019,Ranchi,Milk startup,"Manish Piyush, Ayush Kumar","Alfa Ventures, Agility Venture Partners",100000,Seed
April,LearnVern,2016,Ahmadabad,EdTech,"Niral Modi, Aditi Modi",,1000000,
April,LimeChat,2020,"Faridabad, Haryana",AI Chatbot,"Aniket Bajpai, Nikhil Gupta","Stellaris Venture Partners, Ramakant Sharma",7500000,Seed
April,Dybo,2019,Bangalore,IT ,Dhawal Jain,Spanache,100000,Seed
April,moEVing,2021,Gurugram,Logistics,VIKASH MISHRA,,1000000,Seed
April,WeWork India,2017,Bangalore,Hospitality,Karan Virwani,,26000000,
April,Solethreads,2018,Gurugram,Fashion ,Vikram Iyer,"DSG Consumer Partners, Saama Capital",1000000,Series A
April,Beldara,2018,Mumbai,E-commerce ,Bhagwan (Pradeep) Khandekar,Hindustan Media Ventures,7400000,
April,CredFlow,2020,New Delhi,FinTech,Kunal Aggarwal,"Stellaris Venture Partners, Omidyar Network India, Flourish Ventures",2000000,Seed
April,Do Your Thng,2018,Gurugram,Marketing,Ankit Agarwal,"Angelbay Holdings, Faad Network",1500000,
April,Oye Rickshaw,2017,Gurugram,Transportation,"Akash Deep, Mohit Sharma","Alteria Capital, Chiratae Ventures",3000000,
April,Legitquest,2017,New Delhi,LegalTech,"Himanshu Puri, Karan Kalia, Rohit Shukla","WaterBridge Ventures, Info Edge",600000,
April,Swiggy,2014,Bangalore,Food delivery,"Nandan Reddy, Rahul Jaimini, Sriharsha Majety","Carmignac, Falcon Edge Capital",800000000,
April,AntWak,2019,Bangalore,EdTech,"Basav Nagur, Joybroto Ganguly, Sudhanshu Shekhar, Sumit Gupta, Sriramkumar Sundararaman","Vaibhav Domkundwar, Kunal Shah",Undisclosed,Seed
April,PlayShifu,2016,Bangalore,EdTech,"Dinesh Advani, Vivek Goyal","Chiratae Ventures, Bharat Innovation Fund",17000000,Series B
April,Pitstop,2015,Bangalore,Automotive,"Mihir Mohan Mishra, Nirant Ramakuru, Ruchi Deepak","Acko Technology, Services, LetsVenture",3500000,Pre-series B
April,Lendingkart,1999,Gujarat,FinTech,"Harshvardhan Lunia, Mukul Sachan","Bertelsmann India Investments, Fullerton Financial Holdings",15000000,Debt
April,CRED,2018,Bangalore,FinTech,Kunal Shah,"Dragoneer Investment Group, Tiger Global Management",215000000,Series D
April,Karnival,2015,Bangalore,SaaS startup,Neeraj Tyagi,http://100x.vc/,2500000,Seed
April,PharmEasy,2015,Mumbai,HealthTech,"Dharmil Sheth, Dhaval Shah, Mikhil Innani","TPG Growth, Caisse de Depot et Placement du Quebec",350000000,Series E
April,WESS,1989,Mumbai,Renewable Energy,Hitesh Doshi ,Centrum Financial Services,2000000,Seed
April,ShopSe,2020,Mumbai,FinTech,"Pallav Jain, Abhishek Nimonkar, Yagnesh Desai","Chiratae Ventures, BEENEXT",5500000,
April,Fantasy Akhada,2020,Gurugram,Fantasy sports,Amit Purohit,Harsha Bhogle,600000,
April,Rage Coffee,2018,New Delhi,Food & Beverages,Bharat Sethi,"GetVantage, Prakash Katama",Undisclosed,Pre-series A
April,Groww ,2017,Bangalore,FinTech,"Harsh Jain, Ishan Bansal, Lalit Keshre, Neeraj Singh","Tiger Global Management, Y Combinator Continuity Fund",83000000,Series D
April,Avanti Finance,2016,Bangalore,FinTech,"Ratan Tata, Nandan Nilekani",Michael & Susan Dell Foundation,26000000,Series A
April,Kudos,2014,Pune,FinTech,Naresh Vigh,Marquee fintech founders,Undisclosed,Pre-series A
April,OfBusiness,2015,Gurugram,FinTech,"Asish Mohapatra, Bhuvan Gupta, Chandranshu Sinha, Nitin Jain, Ruchi Kalra, Ruchi Kalra, Srinath Ramakkrushnan, Vasant Sridhar","Falcon Edge India, Norwest Venture Partners",110000000,
April,Superpro.ai,2019,Bangalore,Video communication,"Gaurav Tripathi, Sagar Ramteke, Vijay Goel, Vivek Kumar","SOSV, Omphalos Ventures India",3000000,Seed
April,ShareChat,2015,Bangalore,Social Media,"Ankush Sachdeva, Bhanu Pratap Singh, Farid Ahsan","Twitter Ventures, Pawan Munjal",500000000,
April,WiT-ACE,2020,Gurugram,Skill development,Anuranjita Kumar,CitiusTech,1000000,Seed
April,Spinny,2015,Gurugram,Retail,"Mohit Gupta, Niraj Singh, Ramanshu Mahaur","Arena Holdings, Think Investments",65000000,Series C
April,Alteria Capital,2018,Mumbai,FinTech,Vinod Murali,,1.50E+11,Debt
April,Safexpay,2017,Thane,FinTech,Ravi Gupta,"T Choithrams BVI, Ardor",6000000,
April,PumPumPum,2018,Gurugram,Rental,"Tarun Lawadia, Sameer Kalra","Kogta Financial India Limited, ICICI Bank",700000,Pre-series A
April,Speciale Invest,2017,Bangalore,FinTech,"Vishesh Rajaram, Arjun Rao",,10000000,
April,Eunimart,2016,Hyderabad,E-commerce ,"Saikat Roy, Shayak Mazumder","SucSEED Venture Partners, TMT Connekt",700000,Pre-series A
April,Meesho,2015,Bangalore,E-commerce ,"Sanjeev Barnwal, Vidit Aatrey","SAIF Partners, Venture Highway",300000000,
April,CareerLabs,2019,Bangalore,EdTech,"PN Santosh, Prasanna Alagesan, Krithika Srinivasan",Global Founders Capital,2200000,
April,Uable,2020,Bangalore,EdTech,Saurabh saxena,"JAFCO Asia, Chiratae Ventures",35000000,Pre-series A
April,Zoko,2016,Bangalore,Tech Startup,"Arjun Paul, Aromal Sivadasan",Y Combinator,140000000,Seed
April,GetWork,2019,Gurugram,Recruitment,Rahul Veerwal,Artha Venture Fund,200000,Seed
April,Easebuzz,2015,Pune,E-commerce ,Rohit Prasad,"Jitendra Gupta, Amrish Rau",4000000,Series A
April,Chingari,2018,Bangalore,Social Media,Sumit Ghosh,"FJ Labs, Brian Norgard",13000000,
April,DusMinute,2017,Bangalore,Retail,Apoorva Mishra,Indian Angel Network,1100000,Pre-series A
April,Onsurity,2020,Bangalore,HealthCare,"Kulin Shah, Yogesh Agarwal","Jitendra Gupta, Harsh Shah",,
March,SkilloVilla,2020,Bangalore,EdTech,"Ronak Agrawal, Rajat Agrawal, Deepak Kharol",Titan Capital,300000,Seed
March,Cancer Clinics,2014,Telugana,HealthCare,"Sonali Srungaram, Sasi Sunkara",Axilor,1500000,Pre-series A
March,Velocity,2020,Bangalore,FinTech,"Abhiroop Medhekar, Atul Khichariya, Saurav Swaroop",Valar Ventures,1300000,Seed
March,Happy Jars,2016,New Delhi,Food & Beverages,"Surabhi Talwar, Vikram Sekhar",Inflection Point Ventures,400000,Seed
March,Inshorts,2013,Noida,Media,"Anunay Pandey, Azhar Iqubal, Deepit Purkayastha","Addition, SIG Global India Fund",40000000,
March,ExtraaEdge,2015,Pune,MarTech,"Abhishek Ballabh, Sushil Mundada","9Unicorns Accelerator Fund, Indian Angel Network",1000000,Pre-series A
March,Zotalabs,2019,Pune,Tech Startup,"Nausherwan Shah, Wasim Khan",Alfa Ventures,1250000,Seed
March,Voiro,2014,Bangalore,Advertisement,"Anand Gopal, Kavita Shenoy",1Crowd,1800000,Pre-series A
March,Dream Sports,2008,Mumbai,Gaming,"Bhavit Sheth, Harsh Jain","TCV, D1 Capital Partners, Falcon Edge.",400000000,
March,Safex Chemicals,1991,New Delhi,AgriTech,"SK Jindal, SK Chaudhary",BanyanTree Finance Pvt. Ltd.,50000000,
March,Instoried,2018,Bangalore,Content creation,"Sharmin Ali, Sutanshu Raj","EXPERT DOJO, Mumbai Angels",Undisclosed,
March,Rupifi,2019,Bangalore,FinTech,Anubhav Jain,Quona Capital,4100000,Pre-series A
March,Moneyboxx,1994,Mumbai,FinTech,Deepak Aggarwal,"Ashv Finance, BlackSoil Capital",3000000,Debt
March,CityMall,2019,Gurugram,E-commerce ,"Angad Kikla, Divij Goyal","WaterBridge Ventures, SAIF Partners",11000000,Series A
March,Janani ,2020,Bangalore,Heathcare,Nilay Mehrotra,"Sweta Rau, 9Unicorns Accelerator Fund",1000000,Seed
March,ReshaMandi,2020,Bangalore,AgriTech,Utkarsh Apoorva,"Omnivore, Strive Ventures",1700000,Seed
March,Bombay Shaving Company,2015,New Delhi,Lifestyle,"Deepu Panicker, Raunak Munot, Rohit Jaiswal, Shantanu Deshpande","Rajesh Sud, KULDEEP JAIN",2000000,
March,DotPe ,2019,Gurugram,FinTech,"Anurag Gupta, Gyanesh Sharma, Shailaz Nag","PayU, Google",27000000,Series A
March,Homingos,2018,Bangalore,Augmented reality,"Shourya Agarwal, Malhar Patil, Rajat Gupta","Sundi Natarajan, Srinivas Anumolu",Undisclosed,
March,Anar Business Community,2020,Mumbai,Tech Startup,"Nishank Jain, Sanjay Bhat","Titan Capital, First Cheque",Undisclosed,
March,Five Star Finance,1984,Chennai,FinTech,V K Ranganathan,"TPG Capital Asia, Epiq Capital",234000000,
March,Settlrs,2018,Bangalore,Rental space,"Gaurav Ranebennur, Nishanth Janadri",MaGEHold Pte. Ltd.,Undisclosed,Pre-series A
March,BYJU'S,2011,Bangalore,EdTech,"Byju Raveendran, Divya Gokulnath","BlackRock, Owl Ventures",460000000,Series F
March,Annapurna Finance,2009,Bhubaneswar,FinTech,Gobinda Chandra Pattnaik,"Asian Development Bank, Oman India Joint Investment Fund",30000000,
March,HealthPlix,2014,Bangalore,HealthCare,"Raghuraj Sunder Raju, Sandeep Gudibanda","JSW Ventures, Kalaari Capital",13500000,Series B
March,Masai School,2019,Bangalore,EdTech,Prateek Shukla,"Unitus Ventures, Omidyar Network India",5000000,Series A
March,Bewakoof,2011,Mumbai,D2C Fashion,Prabhkiran Singh,"IvyCap Ventures, Pratithi Investment Trust",4000000,
March,IndiaLends,2014,New Delhi,FinTech,"Gaurav Chopra, Mayank Kachhwaha","ACPI Investments, AdvantEdge Founders",5100000,
March,Stelis Biopharma,2007,Bangalore,BioTechnology,Pudhucode Radhakrishnan Kannan,"RouteOne, Mankekar Family Office",195000000,Series B
March,Tilt ,2016,Bangalore,Bike Rental,Deepak VS,Y Combinator,125000,
March,NeoDove,2020,Jaipur,AI startup,Aprit Khandelwal,India Quotient,15000000,Seed
March,Zaara Biotech,2016,Kottayam,BioTechnology,Najeeb Bin Haneef,TCN International Commerce,10000000,
March,KreditBee,2018,Bangalore,FinTech,"Karthikeyan Krishnaswamy, Madhusudan Ekambaram, Wan Hong","Alpine Capital, PremjiInvest",75000000,Seed
March,True Balance,2014,Gurugram,FinTech,"Cheolwon Lee, Jay Yi, Martin Lee","Bon Angels Venture Partners, Daesung Private Equity",10000000,Debt
March,Muvin,2020,Bangalore,FinTech,Mukund V Rao,,1000000,Seed
March,Purplle,2011,Mumbai,Beauty products,"Manish Taneja, Rahul Dash","Spring Marketing Capital, Verlinvest",45000000,
March,FloBiz,2019,Bangalore,Tech Startup,Rahul Raj,Elevation Capital,10000000,Series A
March,Jeevam Health,2020,New Delhi,Health care,"Kamran alam, Piyush vishwakarma",Y Combinator,1500000,Pre-seed
March,NewLink Group,2016,Beijing,Tech Startup,"Yang Wang, Zhen Dai",Bain Capital,200000000,
March,OZiva,2016,Mumbai,Heathcare,"Aarti, Mihir Gadani","F-Prime Capital, Eight Roads Ventures India",12000000,Series B
March,Blive,2004,Panaji,Tourism,"Samarth Kholkar, Sandeep Mukherjee","Mumbai Angels, DNA Entertainment Networks",1000000,Pre-series A
March,Nazara Technologies,2000,Mumbai,Gaming,Nitish Mittersain,"Hornbill Capital Advisers, Plutus Wealth Management",30000000,
March,Euler Motors,2018,New Delhi,Automotive,Saurav Kumar,"ADB Ventures, Jetty Ventures",2600000,Series A
March,Pixxel,2019,Bangalore,SpaceTech,"Awais Ahmed, Kshitij Khandelwal","Techstars, Ryan Johnson",7300000,Seed
March,Prescinto,2016,Gujarat,Solar ,Puneet Jaggi,"Venture Catalysts, 9Unicorns Accelerator Fund",3500000,Seed
March,MyGlamm,2015,Mumbai,Beauty products,Darpan Sanghvi,Bessemer Venture Partners,20000000,Series C
March,Chirrup,2020,Bangalore,Gaming,"Vipul Garg, Sourav Lashkari, Mehul Mittal","Titan Capital, iSeed, First Cheque, 3.0 Fund.",300000,Pre-seed
March,Policybazaar,2008,Gurugram,Insurance,"Alok Bansal, Avaneesh Nirjar, Manoj Sharma, Tarun Mathur, Yashish Dahiya","Falcon Edge Capital, White Oak Global Advisors",75000000,
March,Livve Homes,2017,Bangalore,Rental space,Maya Lakshman,Angel investors,5000000,
March,Juicy Chemistry,2014,Coimbatore,Healthcare,"Megha, Pritesh Asher.",Akya Ventures,6300000,Series A
March,Svasti Microfinance,2008,Mumbai,FinTech,"Arunkumar Padmanabhan, Narayanan Subramaniam","Kayenne Ventures, Nordic Microfinance Initiative",4000000,
March,Nexprt,2020,New Delhi,Consulting,Harsha Vardhan K,Titan Capital,2000000,
March,Wysa ,2015,Bangalore,AI startup,"Jo Aggarwal, Ramakant Vempati","Kae Capital, Pi Ventures",Undisclosed,
March,Ankur capital,2011,Mumbai,FinTech,Ritu Verma,,40000000,
March,Indifi,2015,Gurugram,FinTech,"Alok Mittal, Siddharth Mahanot, Sundeep Sahi","Elevar Equity, Accel India",5000000,Debt
March,Firmway,2016,Mumbai,FinTech,"Prashant Gupta, Vivek Chandan",,Undisclosed,Pre-seed
March,Say Cheese,2020,Mumbai,FemTech ,Rajpreet Kaur,,1000000,Seed
March,Indic Inspirations,2019,Pune,Cultural,Sunil Jalihal,Marquee investors,300000,
March,Bimaplan,2020,Mumbai,FinTech,Vikul Goyal,"Titan Capital, Y Combinator",500000,Seed
March,YAP,2014,Chennai,FinTech,"Madhusudanan R, Prabhu R","Jitendra Gupta, Better Capital",10000000,Series B
March,Leap Finance,2019,Bangalore,FinTech,Vaibhav Singh,Jungle Ventures,17000000,Series B
March,BlackSoil NBFC,2010,Mumbai,FinTech,Mohinder Pal Bansal,,3000000,
March,OYO,2012,Gurugram,Hospitality,Ritesh Agarwal,Hindustan Media Venture,200000000,
March,Max Healthcare,2000,New Delhi,Healthcare,Analjit Singh,"Radiant Life Care Private Ltd, Life Healthcare",140000000,
March,4baseCare,2018,Bangalore,HealthTech,"Hitesh Goswami, Kshitij Rishi","Mount Judi Ventures, growX Ventures, Season Two Ventures",2000000,Pre-series A
March,Ezstays,2019,New Delhi,EdTech,"Vaibhav Khanna, Abhishek Kumar, Kumar Gaurav",Richard Rekhy,400000,Seed
March,Stylework,2017,Gurugram,Co-working,Sparsh Khandelwal,Inflection Point Ventures,500000,Pre-series A
March,Kinara Capital,2011,Bangalore,FinTech,Hardika Shah,"GAWA Capital, Gaja Capital",6000000,
March,Riskcovry,2018,Bangalore,InsureTech,"Suvendu Prusty, Sorabh Bhandari, Vidya Sridharan, Chiranth Patil","Better Capital, Bharat Inclusion Seed Fund",5000000,Series A
March,NODWIN,2012,Gurugram,Gaming,Gautam Virk,Krafton,20000000,
March,Quizizz,2015,Bangalore,EdTech,"Ankit Gupta, Deepak Joy Cheenath","Eight Roads Ventures India, Nexus Venture Partners",12500000,Series A
March,Ecom Express,2012,New Delhi,E-commerce ,"K. Satyanarayana, Manju Dhawan, Sanjeev Saxena, T. A. Krishnan","CDC Group, Partners Group",20000000,
March,Turtlemint,2015,Mumbai,InsureTech,"Anand Prabhudesai, Dhirendra Mahyavanshi, Kunal Shah",Jungle Ventures,45000000,Series D
March,Captain Fresh,2019,Bangalore,Supply chain platform,Utham Gowda,"Matrix Partners India, Ankur Capital",3000000,Seed
March,Northern Arc,2008,Chennai,FinTech,Kshama Fernandes,"U.S. International Development Finance Corp, Asian Development Bank",10000000,Debt
March,Qoohoo,2020,Bangalore,Social platform,"Vimal Singh Rathore, Aseem Gupta",Angel investors,800000,Seed
March,IGL,2016,Mumbai,Gaming,Yash Pariani,"Hungama, Hindustan Talkies",500000,
March,AMPM,2018,Gurugram,E-commerce ,Shubham Gupta,Agility Venture Partners,200000,
March,The ePlane,2016,Chennai,Drone,"Pranjal Mehta, Satyanarayanan Chakravarthy","Speciale Invest, Farid Ahsan",1000000,Seed
March,Cashify,2009,Gurugram,E-commerce ,"Amit Sethi, Mandeep Manocha, Nakul Kumar","Bessemer Venture Partners, CDH Investments",15000000,
March,Bijnis,2014,New Delhi,B2B service,"Chaitanya Rathi, Shubham Agarwal, Siddharth Rastogi, Siddharth Vij","Sequoia Capital India, Matrix Partners India",Undisclosed,
March,Questt,2020,Gurugram,EdTech,"Akhil Singh, Mohsin, Rohit Pande","Chiratae Ventures, AET Fund",1000000,Seed
March,DealShare,2018,Jaipur,E-commerce ,"Sankar Bora, Sourjyendu Medda, Vineet Rao","Omidyar Network, Falcon Edge Capital",3000000,Debt
March,Euler Motors,2018,New Delhi,Automotive,Saurav Kumar,"Jetty Ventures, Srinivas Anumolu",4000000,Series A
March,Blume Ventures,2011,Mumbai,FinTech,"Karthik Reddy, Sanjay Nath",Avendus,40000000,
March,KoineArth,2018,Bangalore,Blockchain startup,Praphul Chandra,YourNest,1800000,Pre-series A
March,ImaginXP,2013,Pune,EdTech,Vidhika Rohatgi,Venture Catalysts,1500000,
March,Virohan,2018,Gurugram,EdTech,"Archit Jayasal, Kunaal Dudeja, Nalin Saluja","National Skill Development Corporation, Rianta Capital",Undisclosed,
March,Apna.co ,2019,Bangalore,Recruitment,Nirmit Parikh,"Sequoia Capital India, Rocketship.vc",12500000,
March,ideaForge,2007,Mumbai,Drone,"Ankit Mehta, Ashish Bhat","Infosys, Qualcomm Ventures",2000000,
March,Clairco,2018,Bangalore,CleanTech,Aayush Jha,"Real Estate Accelerator Program (REAP), AngelList",500000,
